folder_name,audio_name,audio_url,github_audio_url,cdnjs_url,status
abather-alhalwaji/,dua-al-iftitaah,https://www.shiasource.com/wp-content/uploads/2018/06/dua_iftitah_alhalawaji.mp3,,,error: 404 Client Error: Not Found for url: https://www.shiasource.com/wp-content/uploads/2018/06/dua_iftitah_alhalawaji.mp3
popular-duas,dua-e-ahad,https://app.box.com/s/wl6zg8qhk1f26fdryvqlluyaf51mzt92,,,error: missing file extension
popular-duas,dua-e-alqamah,https://app.box.com/s/hweeuloir3xyzuxdmacwuztn6yplfgtu,,,error: missing file extension
ramadan-duas,dua-e-bahaa,https://app.box.com/s/qj8alhi2cswjm3feg68e9os5mbrr7luc,,,error: missing file extension
popular-duas,dua-e-faraj,https://app.box.com/s/j0cedk1t5te9dqvnhhdcxpzzzuocgxb1,,,error: missing file extension
popular-duas,dua-e-hazeen,https://app.box.com/s/5iw273blcfuff5w6qaxijk864drchlgo,,,error: missing file extension
ramadan-duas,dua-e-iftitah,https://app.box.com/s/w41j7758ojugxaobvze4pmz0i6ildu43,,,error: missing file extension
popular-duas,dua-e-ihtijab,https://app.box.com/s/53eyatdq8yux4a25h1hsovivovoc3wn9,,,error: missing file extension
ramadan-duas,dua-e-jawshan kabeer,https://app.box.com/s/r5je8wklitabh4kk4gdvdsc0ugkg78lc,,,error: missing file extension
ramadan-duas,dua-e-jawshan sagheer,https://app.box.com/s/71my542da2vcwsccjb1hbw2uilmdva6p,,,error: missing file extension
popular-duas,dua-e-kumail,https://app.box.com/s/w16xvpbpgwrrbsxk29zu717knymaup9p,,,error: missing file extension
ramadan-duas,dua-e-lailat-ul qadr,https://app.box.com/s/eyhnx0xgi5kttyhvdavip20xvmkui01l,,,error: missing file extension
popular-duas,dua-e-maa’rijh,https://app.box.com/s/npo5c1rau1fetguxr8go7opltrzd02pv,,,error: missing file extension
popular-duas,dua-e-makarimul ikhlaq,https://app.box.com/s/x69lcz1wkh9eloixhqx28q5slaj39j11,,,error: missing file extension
popular-duas,dua-e-mashlool,https://app.box.com/s/45xgh0oeyybncjhwwho7rdroc6w95jlh,,,error: missing file extension
ramadan-duas,dua-e-mujeer,https://app.box.com/s/qkwahrtkl9jxyfsfv1gqd4wfbx4yasbl,,,error: missing file extension
popular-duas,dua-e-nudbah,https://app.box.com/s/wfzbpg3jde651zd8o3kjzoxt5ufruc30,,,error: missing file extension
ramadan-duas,dua-e-ramzan,https://app.box.com/s/6ex31irszoha4ji4z2uutddun9mzp7ba,,,error: missing file extension
popular-duas,dua-e-romi,https://app.box.com/s/49k89kwl75xxcbb16nyw9a6w20ftbucl,,,error: missing file extension
popular-duas,dua-e-sabah,https://app.box.com/s/67xqzkg3xe4q3u2ggnubzwzcdxpk5uxa,,,error: missing file extension
popular-duas,dua-e-samaat,https://app.box.com/s/ih7t3zjblntqnfwxcgusdk6st5005voz,,,error: missing file extension
ramadan-duas,dua-e-sehar,https://app.box.com/s/wcz3b1o7is9ft3ncrk7f3kbai54xgrqi,,,error: missing file extension
popular-duas,dua-e-tawassul,https://app.box.com/s/0y4n7wno0gyma63rcctgupeacqciduv5,,,error: missing file extension
day-wise-dua,daily-dua-sunday,https://app.box.com/s/wlgu7mznnx227w1hajqz2urqvv053cdf,,,error: missing file extension
day-wise-dua,daily-dua-monday,https://app.box.com/s/m28x30vzz48ny9mvtv5inuoo6facv9i1,,,error: missing file extension
day-wise-dua,daily-dua-tuesday,https://app.box.com/s/mqj6a6vug6f26nqnt1kbax22nt2x4jkw,,,error: missing file extension
day-wise-dua,daily-dua-wednesday,https://app.box.com/s/i7hlyax9butnbvk8563dhgpg3mpbqz2b,,,error: missing file extension
day-wise-dua,daily-dua-thursday,https://app.box.com/s/9vzu9a7itjgi3juga5xvuzdwfx5fx27v,,,error: missing file extension
day-wise-dua,daily-dua-friday,https://app.box.com/s/5cqdybgllmcjzfrt1p5tr46o0ghbrmh2,,,error: missing file extension
day-wise-dua,daily-dua-saturday,https://app.box.com/s/7ac7amfwtojjfdqvznhi5kf1mx2fhotx,,,error: missing file extension
