folder_name,audio_name,audio_url,github_audio_url,cdnjs_url,status,detected_content_type
popular-duas,dua-e-samaat,https://raw.githubusercontent.com/alihusains/ghadir-media/refs/heads/main/popular-duas/dua-e-samaat.mp3,https://raw.githubusercontent.com/alihusains/ghadir-media/refs/heads/main/popular-duas/dua-e-samaat.mp3,,,
ramadan-duas,dua-e-sehar,https://raw.githubusercontent.com/alihusains/ghadir-media/refs/heads/main/ramadan-duas/dua-e-sehar.mp3,https://raw.githubusercontent.com/alihusains/ghadir-media/refs/heads/main/ramadan-duas/dua-e-sehar.mp3,,,
popular-duas,dua-e-tawassul,https://raw.githubusercontent.com/alihusains/ghadir-media/refs/heads/main/popular-duas/dua-e-tawassul.mp3,https://raw.githubusercontent.com/alihusains/ghadir-media/refs/heads/main/popular-duas/dua-e-tawassul.mp3,,,
day-wise-dua,daily-dua-sunday,,,,,
day-wise-dua,daily-dua-monday,,,,,
day-wise-dua,daily-dua-tuesday,,,,,
day-wise-dua,daily-dua-wednesday,,,,,
day-wise-dua,daily-dua-thursday,,,,,
day-wise-dua,daily-dua-friday,,,,,
day-wise-dua,daily-dua-saturday,,,,,
